score0_mean,GamestateNum,RunNum0,SetNum0,Deadwood0,Hitscore0,1A,2A,3A,4A,5A,6A,7A,8A,9A,10A,11A,12A,13A,1B,2B,3B,4B,5B,6B,7B,8B,9B,10B,11B,12B,13B,1C,2C,3C,4C,5C,6C,7C,8C,9C,10C,11C,12C,13C,1D,2D,3D,4D,5D,6D,7D,8D,9D,10D,11D,12D,13D,1A1B,1A1C,1A1D,1A2A,1B1C,1B1D,1B2B,1C1D,1C2C,1D2D,2A2B,2A2C,2A2D,2A3A,2B2C,2B2D,2B3B,2C2D,2C3C,2D3D,3A3B,3A3C,3A3D,3A4A,3B3C,3B3D,3B4B,3C3D,3C4C,3D4D,4A4B,4A4C,4A4D,4A5A,4B4C,4B4D,4B5B,4C4D,4C5C,4D5D,5A5B,5A5C,5A5D,5A6A,5B5C,5B5D,5B6B,5C5D,5C6C,5D6D,6A6B,6A6C,6A6D,6A7A,6B6C,6B6D,6B7B,6C6D,6C7C,6D7D,7A7B,7A7C,7A7D,7A8A,7B7C,7B7D,7B8B,7C7D,7C8C,7D8D,8A8B,8A8C,8A8D,8A9A,8B8C,8B8D,8B9B,8C8D,8C9C,8D9D,9A9B,9A9C,9A9D,9A10A,9B9C,9B9D,9B10B,9C9D,9C10C,9D10D,10A10B,10A10C,10A10D,10A11A,10B10C,10B10D,10B11B,10C10D,10C11C,10D11D,11A11B,11A11C,11A11D,11A12A,11B11C,11B11D,11B12B,11C11D,11C12C,11D12D,12A12B,12A12C,12A12D,12A13A,12B12C,12B12D,12B13B,12C12D,12C13C,12D13D,13A13B,13A13C,13A13D,13B13C,13B13D,13C13D,e1A,e2A,e3A,e4A,e5A,e6A,e7A,e8A,e9A,e10A,e11A,e12A,e13A,e1B,e2B,e3B,e4B,e5B,e6B,e7B,e8B,e9B,e10B,e11B,e12B,e13B,e1C,e2C,e3C,e4C,e5C,e6C,e7C,e8C,e9C,e10C,e11C,e12C,e13C,e1D,e2D,e3D,e4D,e5D,e6D,e7D,e8D,e9D,e10D,e11D,e12D,e13D
47.0,0,0,3,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13472149863321795,0.0,0.12053594914820365,0.1228558512983195,0.19028959980539686,0.0,0.2258340176210919,0.0,0.1260433873037231,0.0,0.5944167995503429,0.0,0.0,0.12904376889035604,0.0,0.0,0.15654857592730712,0.2572232511962928,0.0,0.3473327675750235,0.0,0.0,0.0,0.7608619648895255,0.4584646599925062,0.0,0.0,0.08221789363637333,0.0,0.0,0.1323742197292754,0.0,0.2475605114992849,0.0,0.35802129372308616,0.51457934563861,0.0,0.8490313363275171,0.0,0.0,0.10675768137098286,0.0,0.12759133563127267,0.26450350653089216,0.0,0.20885351033304195,0.0,0.0,0.0,0.7615712224728823,0.0,0.6011582716000528
55.0,0,1,2,3,4,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17290952410180555,0.12167797289175385,0.1553291145475929,0.13839760309412408,0.159569422076019,0.0,0.2858881770481464,0.3883929818323282,0.3787349435835883,0.19806240496083552,0.0,0.0,0.25152910009596563,0.0,0.10931643310378343,0.0,0.0,0.14208176561228586,0.0,0.21247437513374254,0.3403281215647762,0.0,0.4398167917451752,0.17935365431651434,0.0,0.0,0.0,0.12268111878127312,0.15183595265926794,0.13900998862545125,0.0,0.2281883911510837,0.2892170734105693,0.38695792401712736,0.42841461472708897,0.0,0.0,0.0,0.6063146988822743,0.0,0.0,0.13631565714523147,0.1402660925042191,0.17653273673990671,0.2410264607284369,0.2853124751918244,0.3331957691787437,0.4380564775424938,0.468081949574917,0.0,0.5327117218053717,0.4700160634582726
37.0,0,1,2,0,3,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0.20252926349146147,1.0,0.620334043257281,1.0,0.25631853550249234,0.11722265256549595,0.0,0.0,0.3490564443187539,0.6387628461649155,0.0,0.0,0.0,0.08595052389816765,0.6692347333852043,0.0,0.0,0.0,0.07865430722511099,0.0,0.0,0.0,0.0,0.4507964889211624,0.0,0.0,0.2167292989781622,1.0,0.2621720642496432,0.30032835470236674,0.06762325723144902,0.0,0.06833820288224192,0.2420600166114974,0.0,0.5018454002858093,0.0,0.0,0.0,0.09653849487683107,0.6382395191605207,0.0,0.0,0.0,0.055708004486606934,0.08883696581909442,0.0,0.0,0.0,0.0,0.0,0.0
54.0,0,1,1,7,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2366622582091052,0.2403997924610223,0.24296051540980165,0.2365364584666988,0.2276941177935025,0.18017525225968145,0.26408688268146385,0.2582818542567823,0.2880732897083116,0.0,0.2865900764688684,0.28345658395644224,0.25358225028301595,0.2565084968157155,0.238822753723978,0.2679103929892964,0.2252440699303657,0.0,0.0,0.21329421525905667,0.19994753766957749,0.20102525377042094,0.0,0.21274281507536605,0.2073926457201684,0.23488689126512954,0.2366622582091052,0.2403997924610223,0.24296051540980165,0.2365364584666988,0.2276941177935025,0.18017525225968145,0.26408688268146385,0.2582818542567823,0.2880732897083116,0.0,0.2865900764688684,0.28345658395644224,0.25358225028301595,0.2366622582091052,0.0,0.24296051540980165,0.2365364584666988,0.0,0.18017525225968145,0.0,0.0,0.0,0.0,0.0,0.28345658395644224,0.25358225028301595
55.0,0,2,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0.16268205028453436,0.182765510349456,0.13143993127707268,0.18084146807837545,0.20086621792688264,0.1798948703879615,0.0,0.0,0.32788624017302564,0.0,0.0,0.0,0.0,0.17039663863868734,0.14133032241156304,0.0,0.15611974749129592,0.18143050225513715,0.2319496345569698,0.20406113428150052,0.22967630178709794,0.5772303808069461,0.41058667189180775,0.2406071420957733,0.4808783935314686,0.0,0.184387382535673,0.16807830630843987,0.0,0.17606426778207446,0.0,0.21693350108193807,0.0,0.0,0.5372410197776061,0.2530858863819628,0.37480380345351255,0.5828532531229204,0.0,0.1864719779619957,0.0,0.0,0.0,0.2005120777258684,0.2343994430934501,0.21592160665348875,0.2282157321759193,0.5374843079181008,0.27373647739733936,0.0,0.4548029640543799,0.0
55.0,0,2,0,0,4,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2679129878031186,0.25854608732598605,0.0,0.0,0.0,0.0,0.0,0.4696643109304106,0.0,0.0,0.0,0.0,0.3211932870221001,0.31986069449850185,0.29138930604992064,0.16518106612616354,0.0,0.1541369383162302,0.35490290739969915,0.41292004667979104,0.6443101134097803,0.09479132930676427,0.0,0.2286907647941457,0.10952313599774732,0.5937800011509606,0.300949241083432,0.2803505213480331,0.25991507146861226,0.16410720348877947,0.0,0.3070302027852745,0.3423662173231671,0.5044580931662634,0.0,0.03815852794305711,0.0,0.03827267775333237,0.35454904686724864,0.2845362438638346,0.27369177354714697,0.2395357539893924,0.23477849403084305,0.2706072430897876,0.0,0.0,0.0,0.0,0.0,0.15962799467893568,0.0,0.4335945979664617
90.0,0,2,1,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2301528431371456,0.20116160872438504,0.19175929870908945,0.17603986799235846,0.0,0.19238021748502449,0.0,0.27784145267145344,0.29957277395070075,0.26018307600116025,0.0,0.21921313037575912,0.2978007033719717,0.0,0.0,0.0,0.2058809205765333,0.1692651944053753,0.0,0.0,0.0,0.0,0.39787163043337015,0.29639126340700345,0.2826407030578427,0.3597470683823345,0.22301976738455592,0.21541288511513249,0.21492753361703548,0.19909531570286626,0.19152897072577493,0.2449955960119828,0.2529079901275397,0.2969604689181071,0.31016047831875465,0.3367114395408273,0.0,0.0,0.286236334417457,0.21992812589380986,0.20975056166180106,0.21282637613399635,0.20604425435278795,0.16763750561110524,0.2340341982922117,0.2607091128180564,0.31398454106572393,0.35126475503728355,0.3635838121987243,0.0,0.2438556000899199,0.0
61.0,0,1,2,0,2,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0.17613569523289446,0.1594247336243461,0.1410761707728003,0.0860159868145122,0.1571707259538181,0.0,0.0,0.0,0.0,0.21378299346093,0.0,0.0,0.0,0.1521639764573534,0.13127495424528138,0.10009355542503594,0.0,0.12261758337480333,0.2577631660253881,0.296760909633274,0.6119800189056642,0.15252919205415036,0.7029266341279811,0.16053182108078365,0.0,0.0,0.18496224725742166,0.12290859306375053,0.0,0.0,0.12496709362813295,0.17003721140694195,0.4098489554088536,0.530184821105945,0.25193045397015884,0.5867706177656885,0.0,0.5184110701299804,0.0,0.16251902678051858,0.0958957172985562,0.13244606711410556,0.10819379950523768,0.16292831647074155,0.0,0.15225896427516775,0.5824003481848579,0.0,0.6153166658638962,0.1968522467534901,0.08839585622334073,0.0
47.0,0,3,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0.2540186249763345,0.2738751119208499,0.25557790267417657,0.23867069866265875,0.2148881354806611,0.0,0.23232521136749884,0.27754615784175,0.2737663109036564,0.19708461399105245,0.3660488151629445,0.3583577312064438,0.2262288451276239,0.2575252805075583,0.2482312277662288,0.2522731008069053,0.2507870459150112,0.2621905099555721,0.2122412164585296,0.0,0.0,0.0,0.19911296807510845,0.0,0.0,0.0,0.26486143120788264,0.2587984820791269,0.2577467135977227,0.26326292273457585,0.2567365780216253,0.20867559223825802,0.2444352270875777,0.24421416231730936,0.0,0.0,0.1925386198242188,0.2613697653632243,0.0,0.25873370783168553,0.0,0.2533400008205057,0.2474555672294198,0.25579195879244376,0.21653672282712186,0.28517653050021624,0.3213327126707796,0.29397328767241665,0.0,0.0,0.0,0.21191294260154905
72.0,0,1,2,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09189729259699178,0.06762167663388144,0.0,0.0,0.0,0.0967069623739765,0.12360323917067502,0.2755339061344182,0.3771947981418461,0.3123343700499844,0.5143678308991787,0.2761865648110144,0.0,0.07992683548086521,0.0,0.0,0.0,0.06566969232463886,0.1266739467479071,0.16492382330514818,0.25360512469219737,0.3580222903779167,0.2665621895757068,0.5641416915149784,0.2692947653529513,0.8412180105422858,0.0822898203573537,0.0,0.06077180383890584,0.0,0.0749384104306868,0.0,0.0,0.2025450981123392,0.2515599108505591,0.0,0.27334457368144,0.0,0.7533356424643334,0.08810494725009191,0.0,0.05097782519954037,0.0,0.07946275525906606,0.12096021001252524,0.14244523725343566,0.1852489824505945,0.19215069586173947,0.0,0.0,0.0,0.6442058576224168
