,TrainDI,ValDI,TrainFCIT,ValFCIT,TrainFC,ValFC
1,138.0992,118.6535,172.1597,117.5083,176.6766,116.3212
2,116.9636,116.279,114.6843,113.9576,113.6728,113.3392
3,109.1476,107.1727,111.7616,111.587,112.021,112.0992
4,100.6837,98.9168,109.5011,109.7582,110.6389,112.1299
5,97.0865,95.3406,108.0061,108.4189,109.5214,110.3475
6,94.2748,93.6592,107.2201,107.9072,108.8652,109.7799
7,92.9292,92.8705,106.6997,107.5457,108.3512,109.1306
8,92.0177,92.5609,106.2769,107.434,107.9643,108.8506
9,91.2664,91.0962,105.9985,106.8519,107.6812,110.1362
10,90.5556,90.8063,105.7543,107.2111,107.4944,108.4586
11,89.9593,90.0933,105.6046,106.7253,107.3576,108.8152
12,89.3047,90.4827,105.4307,106.2373,107.2189,108.5253
13,88.4012,87.8271,105.2901,106.094,107.1452,107.8437
14,86.7184,86.1779,105.1775,106.0708,107.0197,107.7443
15,85.2421,84.8232,105.0806,106.0373,106.9503,107.8868
16,83.0554,81.959,105.0042,105.8909,106.8796,107.9208
17,81.3884,81.1565,104.9388,106.3598,106.8095,107.6764
18,80.0533,80.0488,104.8665,105.9326,106.7546,107.6128
19,78.9744,79.1335,104.8113,105.8797,106.7061,107.3845
20,78.4255,78.3655,104.7545,105.7212,106.6425,107.5803
21,78.0554,78.213,104.711,105.7303,106.607,107.4379
22,77.7691,78.0146,102.634,100.0856,106.5699,107.7251
23,77.5701,77.9847,97.3359,97.0546,106.5046,107.4754
24,77.4114,78.6886,95.7608,95.8966,106.465,107.308
25,77.2717,79.2109,94.9066,95.3115,102.207,99.6136
26,77.1521,78.5006,94.1996,94.6747,97.9435,97.6065
27,77.047,77.9259,93.6453,93.8468,96.6367,96.6718
28,76.8976,77.7823,93.1764,94.7681,95.9183,96.1007
29,76.7909,77.2893,92.7144,93.5748,95.3965,95.5192
30,76.689,77.0841,92.3062,92.6242,94.9431,95.0312
31,76.5626,77.6059,91.9682,93.9737,94.3181,94.4107
32,76.474,76.9675,91.6996,92.1418,93.4084,93.6025
33,75.4708,76.2219,90.7605,91.6483,92.4072,93.0108
34,75.3888,76.2037,90.662,91.5908,92.2973,92.9225
35,75.3549,76.4245,90.6247,91.6181,92.2408,92.8835
36,75.3398,76.1656,90.5917,91.5671,92.1906,92.8329
37,75.3217,76.1712,90.5681,91.5575,92.1438,92.8451
38,75.2985,76.1666,90.545,91.5114,92.1045,92.7499
