,TrainDI,ValDI,TrainFCIT,ValFCIT,TrainFC,ValFC
1,100.4957,94.6109,117.5359,110.0736,116.1649,110.6384
2,93.1266,91.2549,107.9938,106.8411,109.2225,107.8367
3,90.6194,89.5124,104.0939,102.6208,106.029,104.6901
4,89.0197,87.9434,102.0042,101.7351,103.994,103.4234
5,87.7184,86.5251,101.014,100.915,102.9372,102.5485
6,86.6023,89.3683,100.4026,100.9194,102.3021,101.8895
7,85.7887,85.4169,99.9551,99.8722,101.3644,98.2052
8,85.1201,85.1539,98.5107,96.5058,95.2716,94.5668
9,84.5446,83.7667,94.9124,95.3278,94.2522,94.109
10,84.0967,85.2265,94.5968,95.4738,93.8322,93.895
11,83.7413,83.426,94.4492,94.483,93.4977,93.4168
12,83.4283,85.8029,94.2906,94.2361,93.1987,92.9543
13,83.2066,82.47,94.1797,94.3731,92.937,92.7817
14,82.9627,83.0977,94.0403,94.2283,92.7256,93.1818
15,82.7689,82.8298,93.9215,94.3692,92.5555,92.6536
16,82.5971,82.4519,93.8097,93.7652,92.3508,92.7318
17,82.4826,83.07,93.713,93.8094,92.1602,93.6065
18,82.345,82.6023,93.6115,93.6289,91.9846,91.6912
19,82.2303,83.8262,93.4926,93.717,91.8154,92.7517
20,82.1018,82.2681,93.3691,93.3989,91.6998,91.5936
21,81.9798,81.8316,93.2927,93.2727,91.5044,93.6115
22,81.9313,81.4105,93.1822,94.609,91.3076,91.1452
23,81.7986,84.1962,93.0879,93.5574,91.0413,91.5658
24,81.7001,81.3702,92.9931,93.1408,90.7596,90.58
25,81.6545,81.2617,92.8986,93.7159,90.4774,90.3128
26,81.557,81.3584,92.8038,92.9584,90.2401,89.8912
27,81.4764,82.1046,92.7019,93.2751,90.0678,89.9622
28,81.4378,81.3462,92.6263,92.8517,89.9221,89.8128
29,81.3618,81.2814,92.5396,92.71,89.7222,89.2837
30,81.3144,81.9079,92.4359,92.9625,89.432,89.8369
31,81.2852,81.2624,92.3547,92.3042,89.2238,89.6503
32,81.1917,82.7991,92.2941,92.2892,89.0799,88.5874
33,79.8302,80.2494,91.4432,91.8788,87.962,88.1854
34,79.7326,80.198,91.3668,91.8946,87.8996,88.2297
35,79.7047,80.3055,91.3469,91.812,87.8818,88.1643
36,79.6841,80.2084,91.3312,91.8103,87.8598,88.1324
37,79.661,80.1937,91.318,91.8254,87.8369,88.2005
38,79.6466,80.1482,91.2962,91.7885,87.8268,88.0955
39,79.6334,80.0942,91.2864,91.7731,87.8177,88.0727
40,79.6218,80.1365,91.2691,91.7922,87.8029,88.0825
41,79.6071,80.1062,91.2635,91.8256,87.7828,88.1588
42,79.593,80.1582,91.2477,91.7599,87.7722,88.0938
43,79.584,80.0734,91.2344,91.8079,87.7585,88.0615
44,79.5741,80.1009,91.2245,91.7176,87.7459,88.0838
45,79.554,80.1702,91.217,91.7361,87.7373,88.082
46,79.5542,80.1059,91.2028,91.7279,87.7276,88.0122
47,79.5312,80.0534,91.1888,91.6912,87.7122,88.0524
48,79.5329,80.1273,91.1767,91.6761,87.7008,88.08
49,79.5182,80.2789,91.1667,91.6708,87.6951,88.0554
50,79.5152,80.0638,91.1558,91.6588,87.6862,87.9752
51,79.4979,80.0072,91.1487,91.6699,87.6734,87.9674
52,79.4892,80.046,91.1373,91.6239,87.6641,87.9935
53,79.4873,80.1667,91.1283,91.63,87.6554,88.1199
54,79.4798,80.0872,91.1128,91.6105,87.6465,88.0409
55,79.4686,80.0391,91.1066,91.5899,87.6396,87.9474
56,79.4607,80.0748,91.0938,91.6124,87.6274,87.9207
