,TrainDIA,ValDIA,TrainDIA16,ValDIA16
1,209.3204,191.2001,194.7752,183.4252
2,188.4577,187.2044,183.6661,182.4501
3,187.0152,185.3369,182.3654,182.8187
4,185.367,183.1316,181.792,182.7138
5,183.8204,182.6605,181.4325,180.0808
6,183.1918,182.2589,181.2608,180.9491
7,182.7786,181.4006,181.0044,180.1914
8,182.3499,181.2757,176.1745,168.1788
9,181.9906,181.8631,165.2535,160.9975
10,181.8016,180.6365,160.8107,160.2891
11,181.5929,180.5624,158.5642,156.8408
12,181.4828,181.916,153.4872,149.1371
13,181.2877,181.2344,148.0301,146.2874
14,181.2249,179.9643,145.6965,144.8856
15,181.1427,180.3909,144.2313,142.1156
16,181.1367,180.3277,143.0393,141.8216
17,181.0689,179.9368,142.2921,141.9696
18,181.0493,179.8315,141.5187,141.1781
19,180.8469,179.496,140.9345,139.5405
20,180.8224,181.1075,140.7002,141.2583
21,180.8353,183.9944,140.3865,139.48
22,180.6963,179.5738,140.1362,138.3502
23,180.6468,180.5786,140.0077,140.49
24,180.655,179.7895,139.875,138.8027
25,180.5321,181.2724,139.6512,139.9174
26,180.575,179.557,139.5586,139.975
27,180.5036,179.3362,139.5087,138.0154
28,180.2406,181.1581,139.4066,144.0881
29,179.9218,179.3555,139.2504,137.5022
30,179.7199,179.9762,139.1988,138.6171
31,179.6469,178.8634,139.3046,138.4866
32,179.5985,178.6253,139.2424,139.0966
33,178.8172,178.5033,137.3106,136.7197
34,178.8104,178.3677,137.2304,136.6153
35,178.8032,178.2649,137.2074,136.438
36,178.7747,178.6665,137.202,136.9239
37,178.7905,178.2881,137.188,136.4841
38,178.721,178.4022,137.1445,136.3473
39,178.7458,178.1087,137.0686,136.5274
40,178.6992,178.5863,137.0493,136.7559
41,178.7024,178.3868,137.0295,136.2378
42,178.7649,178.274,137.0488,136.2435
43,178.6608,178.1556,136.9851,136.3862
44,178.6722,178.1643,137.0392,136.7285
45,178.6942,178.3822,136.9849,136.5286
46,178.6122,178.2057,136.976,136.3132
47,178.6706,178.1559,136.9593,136.1543
48,178.6282,178.2089,136.9072,136.3286
49,178.6509,178.165,136.9157,136.0538
50,178.6859,178.1914,136.9254,136.1749
51,178.6469,178.0981,136.9198,136.2016
52,178.6695,178.4129,136.8697,136.3789
53,178.6834,178.2522,136.9475,136.4114
54,178.5787,178.12,136.8131,136.1898
55,178.6875,178.2617,136.8556,136.2149
56,178.5656,178.2842,136.8224,136.405
57,178.6375,178.178,136.7609,136.3012
58,178.6636,178.3972,136.7448,136.3321
59,178.6823,178.0816,136.7584,136.0604
60,178.6151,178.4606,136.7682,135.9839
61,178.6277,178.1267,136.744,136.7788
62,178.5773,178.1021,136.669,135.9796
63,178.6202,178.2755,136.6726,136.3776
64,178.5436,178.271,136.6752,136.0549
65,178.5002,178.1843,136.3937,135.877
66,178.5352,178.1667,136.4151,135.7645
67,178.5246,178.1454,136.3302,135.8618
68,178.5144,178.1721,136.4136,135.8617
69,178.4087,178.06,136.3824,135.8794
70,178.4406,178.1211,136.3025,135.9081
71,178.4988,178.1449,136.3649,135.7372
72,178.415,178.0823,136.3834,135.7581
73,178.467,177.9732,136.4012,135.8629
74,178.4886,178.1973,136.2793,135.7744
75,178.5792,178.1343,136.3839,135.5541
76,178.5086,178.1122,136.3425,135.8104
77,178.4969,178.1336,136.3961,135.6911
78,178.5636,178.0237,136.3025,135.838
79,178.4878,178.1714,136.4168,135.7643
80,178.4471,178.0788,136.3293,135.782
81,178.4727,178.174,136.3383,135.7015
82,178.4243,178.0749,136.3405,135.7771
83,178.4774,178.0198,136.3297,135.8266
84,178.4545,178.2113,136.3673,135.7448
85,178.447,178.133,136.3708,135.6469
86,178.4922,178.0392,136.2591,135.7757
87,178.4545,177.9753,136.352,135.7212
88,178.4801,178.0934,136.3593,135.7118
89,178.4709,178.0646,136.3475,135.6736
90,178.4166,178.1256,136.3103,135.7085
91,178.4201,178.1838,136.3302,135.7106
92,178.4872,178.0679,136.3458,135.7751
93,178.4747,178.0004,136.3406,135.7818
94,178.4632,178.064,136.3104,135.7064
95,178.4674,177.9244,136.3537,135.7053
96,178.4557,178.0975,136.3266,135.7653
