,TrainDI,ValDI,TrainFCIT,ValFCIT,TrainFC,ValFC
1,155.2799,153.1306,165.0811,161.1689,163.8303,160.7649
2,152.7101,152.3768,160.5964,159.981,160.131,159.4939
3,151.9977,151.9364,159.5595,160.0392,159.3064,158.8921
4,151.5415,151.6458,158.5062,158.2587,158.6786,158.3794
5,151.1819,151.4216,157.8002,158.2001,158.0674,157.9523
6,150.8979,151.4843,157.1968,157.5379,157.6542,157.5642
7,150.6297,151.557,156.704,157.3076,157.3804,157.3092
8,150.3842,151.1038,156.3509,157.0113,157.1299,157.513
9,150.1886,151.1582,156.0963,157.425,156.9442,157.2513
10,149.9533,151.3778,155.9238,156.829,156.7586,156.9253
11,149.7049,151.2635,155.7764,156.7299,156.592,156.8198
12,149.5117,150.8051,155.6371,156.5345,156.4461,156.681
13,149.268,150.3398,155.5486,156.7069,156.3308,156.6281
14,149.0061,150.1102,155.4566,156.513,156.209,156.6109
15,148.7581,150.0739,155.382,156.8317,156.099,158.3014
16,148.421,149.5941,155.3085,156.9261,155.9802,156.5592
17,148.0278,149.5125,155.2245,156.5868,155.8227,156.1304
18,147.6806,149.5323,155.1671,156.4241,155.645,155.8658
19,147.3461,148.5975,155.0816,156.256,155.4851,156.3863
20,147.0788,149.0986,155.0191,156.2651,155.3734,156.2894
21,146.8504,148.5187,154.9513,156.245,155.2622,155.4236
22,146.6954,148.8493,154.9147,156.3941,155.2254,155.6639
23,146.5852,148.067,154.8668,156.4075,155.1565,155.4356
24,146.4743,148.0014,154.7915,156.1633,155.0928,156.2376
25,146.3672,149.9278,154.7144,156.2048,155.0847,155.2927
26,146.2816,148.2468,154.6557,156.0585,154.9983,155.519
27,146.1851,147.703,154.6123,156.3441,154.9646,155.2866
28,146.0851,147.6489,154.54,156.3945,154.9145,155.2452
29,146.0242,148.2299,154.4782,156.1833,154.9162,155.7198
30,145.9525,147.6175,154.4424,156.0141,154.8705,155.6205
31,145.87,147.6973,154.3897,156.0002,154.8569,155.5267
32,145.7739,147.4204,154.3602,156.0482,154.8311,155.2164
33,144.8437,146.9961,153.8098,155.7557,154.1048,154.7615
34,144.7407,146.9507,153.7673,155.7698,154.0425,154.7253
35,144.7145,146.9654,153.7441,155.7744,154.0212,154.6928
36,144.6817,147.0253,153.7395,155.7745,154.0109,154.6823
37,144.665,147.0046,153.7311,155.8041,154.0004,154.787
38,144.6376,146.9947,153.7246,155.7611,153.9905,154.6488
39,144.6267,147.0014,153.7149,155.7754,153.9805,154.7463
40,144.6173,146.9827,153.713,155.8133,153.9814,154.6455
41,144.5977,146.9095,153.7045,155.7693,153.9767,154.7048
42,144.5799,146.9445,153.7023,155.7695,153.9688,154.6534
43,144.5632,146.9262,153.6935,155.7609,153.9674,154.6463
44,144.5511,147.1019,153.6948,155.8018,153.9618,154.6847
45,144.5385,146.9778,153.6847,155.7744,153.9586,154.7156
46,144.5235,146.8799,153.683,155.9424,153.9531,154.6368
47,144.5148,146.8971,153.6775,155.7642,153.9547,154.6065
48,144.4967,146.8751,153.6732,155.8022,153.9427,154.8423
49,144.4857,146.8897,153.6648,155.852,153.9363,154.6921
50,144.4723,146.9032,153.6677,155.7603,153.94,154.6364
51,144.4619,146.8485,153.6626,155.7892,153.9312,154.7033
52,144.4446,146.9156,153.6553,155.7582,153.9306,154.6531
53,144.4291,146.8981,153.6501,155.8058,153.9164,154.6408
54,144.4166,146.8242,153.6511,155.7646,153.9234,154.6188
55,144.4067,146.8087,153.6439,155.7579,153.9155,154.6254
56,144.3996,146.8117,153.6442,155.7694,153.9075,154.6776
57,144.3804,146.8548,153.6356,155.7699,153.9063,154.7136
58,144.3726,146.8563,153.6304,155.7718,153.9088,154.5876
59,144.349,146.8274,153.6261,155.7785,153.9069,154.5821
60,144.341,146.917,153.6289,155.7777,153.8968,154.7057
61,144.3312,146.8047,153.6225,155.7659,153.8959,154.6193
62,144.3153,146.8578,153.6207,155.7619,153.8914,154.5782
63,144.2994,146.7813,153.612,155.778,153.8914,154.6226
64,144.2894,146.6935,153.607,155.7613,153.8843,154.5744
65,144.1655,146.7246,153.5438,155.7447,153.7967,154.5495
66,144.1557,146.707,153.5398,155.7462,153.7916,154.557
67,144.154,146.7266,153.5367,155.7469,153.789,154.5479
68,144.1511,146.7121,153.5383,155.7476,153.7856,154.5552
69,144.1494,146.7104,153.5369,155.7497,153.7892,154.5437
70,144.1481,146.725,153.5358,155.751,153.7877,154.5469
71,144.1467,146.7348,153.5355,155.746,153.785,154.5555
72,144.1434,146.6947,153.534,155.7479,153.7857,154.5536
73,144.1397,146.7413,153.5356,155.7467,153.7835,154.5496
74,144.1419,146.7184,153.5356,155.7458,153.7819,154.5411
75,144.1363,146.7466,153.5347,155.7464,153.783,154.5529
76,144.1363,146.7197,153.5337,155.7492,153.7815,154.5431
77,144.1338,146.7021,153.5317,155.7488,153.7831,154.5456
78,144.133,146.722,153.5306,155.7668,153.7823,154.5566
79,144.132,146.7159,153.5343,155.7517,153.7797,154.5455
80,144.1301,146.7343,153.5328,155.7567,153.7822,154.5391
81,144.1264,146.7054,153.5335,155.7541,153.7764,154.5395
82,144.1281,146.7046,153.5325,155.7524,153.7804,154.5611
83,144.1267,146.7037,153.5314,155.7507,153.7806,154.5416
84,144.1237,146.7128,153.5282,155.748,153.778,154.55
85,144.1231,146.7172,153.5269,155.7632,153.7783,154.5417
86,144.1213,146.7083,153.5295,155.7492,153.7803,154.5416
87,144.1205,146.6986,153.5287,155.7473,153.7799,154.539
88,144.1189,146.729,153.5284,155.7539,153.7771,154.5465
89,144.1161,146.7097,153.5278,155.7532,153.7775,154.541
90,144.1169,146.692,153.5277,155.7544,153.7773,154.543
91,144.1153,146.7048,153.5279,155.7534,153.7776,154.546
92,144.1104,146.7222,153.529,155.753,153.7781,154.5544
93,144.1116,146.7062,153.5261,155.7488,153.7761,154.5428
94,144.1103,146.7035,153.5221,155.7526,153.7718,154.5492
